,employment_income_before_lsr__2024,self_employment_income_before_lsr__2024,farm_income__2024,county_fips__2024,state_fips__2024,deductible_mortgage_interest__2024,alimony_expense__2024,unreimbursed_business_employee_expenses__2024,educator_expense__2024,student_loan_interest__2024,qualified_tuition_expenses__2024,has_marketplace_health_coverage__2024,medicare_part_b_premiums__2024,over_the_counter_health_expenses__2024,other_medical_expenses__2024,health_insurance_premiums_without_medicare_part_b__2024,self_employed_pension_contributions__2024,traditional_ira_contributions__2024,traditional_401k_contributions__2024,early_withdrawal_penalty__2024,roth_ira_contributions__2024,roth_401k_contributions__2024,casualty_loss__2024,spm_unit_payroll_tax_reported__2024,spm_unit_federal_tax_reported__2024,real_estate_taxes__2024,spm_unit_state_tax_reported__2024,excess_withheld_payroll_tax__2024,pre_subsidy_rent__2024,rent__2024,tenure_type__2024,charitable_non_cash_donations__2024,charitable_cash_donations__2024,spm_unit_capped_work_childcare_expenses__2024,spm_unit_pre_subsidy_childcare_expenses__2024,child_support_expense__2024,child_support_received__2024,person_marital_unit_id__2024,is_separated__2024,marital_unit_id__2024,spm_unit_id__2024,person_spm_unit_id__2024,own_children_in_household__2024,is_female__2024,is_blind__2024,is_household_head__ETERNITY,is_full_time_college_student__2024,cps_race__2024,is_hispanic__2024,is_disabled__2024,household_weight__2024,person_weight__2024,person_family_id__2024,family_id__2024,person_id__2024,person_household_id__2024,tax_unit_id__2024,person_tax_unit_id__2024,household_id__2024,age__2024,in_nyc__2024,spm_unit_energy_subsidy_reported__2024,spm_unit_capped_housing_subsidy_reported__2024,spm_unit_wic_reported__2024,income,net_income,spm_unit_spm_threshold__2024,spm_unit_broadband_subsidy_reported__2024,ssi_reported__2024,weekly_hours_worked_before_lsr__2024,employment_income_last_year__2024,farm_rent_income__2024,miscellaneous_income__2024,strike_benefits__2024,rental_income__2024,salt_refund_income__2024,alimony_income__2024,investment_income_elected_form_4952__2024,estate_income__2024,tax_exempt_interest_income__2024,taxable_interest_income__2024,self_employment_income_last_year__2024,previous_year_income_available__2024,w2_wages_from_qualified_business__2024,partnership_s_corp_income__2024,veterans_benefits__2024,disability_benefits__2024,tax_exempt_403b_distributions__2024,taxable_pension_income__2024,tax_exempt_sep_distributions__2024,taxable_401k_distributions__2024,taxable_sep_distributions__2024,keogh_distributions__2024,tax_exempt_private_pension_income__2024,tax_exempt_pension_income__2024,tax_exempt_ira_distributions__2024,taxable_ira_distributions__2024,tax_exempt_401k_distributions__2024,taxable_private_pension_income__2024,taxable_403b_distributions__2024,long_term_capital_gains_on_collectibles__2024,short_term_capital_gains__2024,unrecaptured_section_1250_gain__2024,non_sch_d_capital_gains__2024,qualified_dividend_income__2024,non_qualified_dividend_income__2024,long_term_capital_gains_before_response__2024,snap_reported__2024,takes_up_snap_if_eligible__2024,free_school_meals_reported__2024,receives_wic__2024,social_security_disability__2024,social_security_dependents__2024,social_security_survivors__2024,social_security_retirement__2024,social_security__2024,workers_compensation__2024,unemployment_compensation__2024,takes_up_dc_ptc__2024,interest_deduction__2024,pre_tax_contributions__2024,taxable_unemployment_compensation__2024,self_employed_pension_contribution_ald__2024,self_employed_health_insurance_ald__2024,health_savings_account_ald__2024,domestic_production_ald__2024,unreported_payroll_tax__2024,other_credits__2024,recapture_of_investment_credit__2024,amt_foreign_tax_credit__2024,savers_credit__2024,prior_year_minimum_tax_credit__2024,foreign_tax_credit__2024,american_opportunity_credit__2024,energy_efficient_home_improvement_credit__2024,takes_up_eitc__2024,general_business_credit__2024,cdcc_relevant_expenses__2024,tanf_reported__2024,housing_assistance__2024,is_tax_unit_dependent,spm_unit,household_size,working,dependents
0,49372.19,0.0,0.0,1,23,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,41.90169,326.8332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3903.135,914.88184,0.0,769.22565,0.0,13200.0,13466.55,RENTED,0.0,0.0,1772.0756,0.0,0.0,2820.834,344,False,344,477001,477001,1,True,False,True,False,1,False,False,1440415.9,1440415.9,4771,4771.0,47701,477,47701,47701,477,32.0,False,0.0,0.0,0.0,55318.414,48442.184,23935.771,0.0,0.0,38.0,-1.0476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624552,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.92406,True,889.97974,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,326.8332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,477001,2,1,1
2,0.0,0.0,0.0,17,25,0.0,0.0,0.0,0.0,0.0,0.0,False,2073.0862,1257.0508,1047.5424,4190.1694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.729,1887.3573,1270.1405,0.0,0.0,0.0,OWNED_WITH_MORTGAGE,0.0,0.0,0.0,0.0,0.0,0.0,3632,False,3632,3543001,3543001,0,True,False,True,False,1,False,False,1440415.9,1440415.9,35431,35431.0,354301,3543,354301,354301,3543,81.0,False,0.0,0.0,0.0,32679.146,19874.049,17195.355,0.0,0.0,0.0,-1.0476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3718189,2.9151154,-1.0624552,False,0.0,0.0,0.0,0.0,0.0,16240.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16240.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,False,0.0,0.0,0.0,15505.889,15505.889,0.0,0.0,False,0.0,6263.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,3543001,1,1,0
3,261904.77,0.0,0.0,21,25,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,523.7712,314.2627,2933.1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19307.797,57439.42,8671.642,14956.031,0.0,0.0,0.0,OWNED_WITH_MORTGAGE,0.0,0.0,3544.1511,0.0,0.0,0.0,4345,False,4345,4050001,4050001,0,False,False,True,False,1,False,False,1440415.9,1440415.9,40501,40501.0,405001,4050,405001,405001,4050,34.0,False,0.0,0.0,0.0,331306.34,227129.98,30495.613,0.0,0.0,40.0,-1.0476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624552,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2741.2278,3377.5842,0.0,0.0,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,2933.1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,4050001,2,2,0
5,42875.906,0.0,0.0,27,25,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,26.188557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3388.8523,3824.098,0.0,1975.094,0.0,24000.0,24484.635,RENTED,0.0,0.0,1158.9395,0.0,0.0,0.0,5511,False,5511,4867001,4867001,0,False,False,True,False,1,False,False,1440415.9,1440415.9,48671,48671.0,486701,4867,486701,486701,4867,36.0,False,0.0,0.0,0.0,48843.863,38277.79,17991.105,0.0,0.0,28.115385,-1.0476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624552,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,4744.1333,False,0.0,0.0,4744.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,4867001,1,1,0
7,0.0,14874.372,0.0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,False,2073.0862,0.0,2095.0847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141.5815,1324.1426,15812.994,544.78314,0.0,0.0,0.0,OWNED_WITH_MORTGAGE,0.0,0.0,1703.7225,0.0,0.0,0.0,7883,False,7883,6805001,6805001,0,False,False,True,False,1,False,False,1440415.9,1440415.9,68051,68051.0,680501,6805,680501,680501,6805,76.0,False,0.0,0.0,0.0,62773.887,52613.83,15189.656,0.0,0.0,9.615385,0.0,0.0,0.0,0.0,9094.3545,0.0,0.0,0.0,0.0,0.0,0.0,1062.4551,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,36345.215,36345.215,0.0,0.0,True,0.0,2073.0862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,6805001,1,1,0
8,0.0,0.0,0.0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,False,2250.1208,104.75423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28055.312,0.0,0.0,0.0,0.0,OWNED_WITH_MORTGAGE,0.0,0.0,0.0,0.0,0.0,0.0,7919,False,7919,6852001,6852001,0,True,False,True,False,1,False,False,1440415.9,1440415.9,68521,68521.0,685201,6852,685201,685201,6852,85.0,False,943.67865,0.0,0.0,31832.475,30400.062,13187.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.35614,1592.3818,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,27802.113,27802.113,0.0,0.0,False,0.0,2250.1208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,6852001,1,1,0
9,62857.145,0.0,0.0,47,36,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,52.377113,188.55762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4969.5947,5912.627,0.0,4614.3335,0.0,13200.0,13466.55,RENTED,0.0,0.0,511.11676,0.0,0.0,0.0,9000,True,9000,7779001,7779001,0,False,False,True,False,1,False,False,1440415.9,1440415.9,77791,77791.0,777901,7779,777901,777901,7779,47.0,True,0.0,0.0,0.0,64962.023,48391.297,20786.436,0.0,0.0,17.307692,-1.0476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624552,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,7779001,1,1,0
10,0.0,0.0,0.0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,False,2073.0862,419.0169,314.2627,2514.1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6186.5503,6631.2554,1795.5399,0.0,0.0,0.0,OWNED_WITH_MORTGAGE,0.0,0.0,0.0,0.0,0.0,0.0,11749,False,11749,9972001,9972001,0,False,False,True,False,2,False,False,1440415.9,1440415.9,99721,99721.0,997201,9972,997201,997201,9972,70.0,False,0.0,0.0,0.0,68210.125,54618.99,14050.1,0.0,0.0,0.0,-1.0476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624552,False,0.0,0.0,0.0,0.0,0.0,68210.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68210.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,4587.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,9972001,1,1,0
11,75428.57,0.0,0.0,17,34,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1257.0508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5963.514,5986.2505,6631.2554,2536.2002,0.0,0.0,0.0,OWNED_WITH_MORTGAGE,0.0,0.0,1772.0756,0.0,0.0,0.0,12769,True,12769,10776001,10776001,0,False,False,True,False,1,True,False,1440415.9,1440415.9,107761,107761.0,1077601,10776,1077601,1077601,10776,55.0,False,0.0,0.0,0.0,92959.58,75030.055,23173.688,0.0,0.0,40.0,-1.0476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624552,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1257.0508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,10776001,2,2,0
13,157142.86,0.0,0.0,0,34,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,2095.0847,523.7712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12838.661,15911.365,12752.414,5786.5356,0.0,0.0,0.0,OWNED_WITH_MORTGAGE,0.0,0.0,3544.1511,0.0,0.0,0.0,13211,False,13211,11143001,11143001,2,False,False,True,False,1,False,False,1440415.9,1440415.9,111431,111431.0,1114301,11143,1114301,1114301,11143,52.0,False,0.0,0.0,0.0,179186.92,137827.77,44036.637,0.0,0.0,40.0,-1.0476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624552,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.43564,281.46533,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,False,11143001,4,2,2
